             CooksD  CooksD_flag  StdResid  StdResid_flag  StudResid  StudResid_flag    DFFITS  DFFITS_flag  COVRATIO  COVRATIO_flag  DFBETAS_flag
195.0  2.988936e-03        False  1.093005          False   1.093293           False  0.250601        False  1.109363          False         False
196.0  1.089964e-04        False -0.212050          False  -0.211777           False -0.047781        False  1.088214          False         False
197.0  8.966047e-04        False -0.611909          False  -0.611393           False -0.137102        False  1.127857          False          True
198.0  1.657810e-03        False -0.623836          False  -0.623321           False -0.186431        False  1.036850          False         False
199.0  4.647301e-04        False  0.795086          False   0.794691           False  0.098740        False  1.109163          False         False
200.0  1.232887e-05        False  0.073168          False   0.073070           False  0.016069        False  1.069887          False         False
201.0  3.346918e-07        False -0.025313          False  -0.025279           False -0.002648        False  1.011942          False          True
202.0  1.533083e-03        False -1.114335          False  -1.114699           False -0.179488        False  1.164568           True         False
203.0  9.692732e-04        False -0.426694          False  -0.426223           False -0.142513        False  1.080971          False         False
204.0  1.062730e-04        False  0.291189          False   0.290830           False  0.047183        False  1.067426          False         False
205.0  1.842223e-04        False -0.441841          False  -0.441362           False -0.062131        False  1.100620          False         False
206.0  2.780258e-05        False -0.119605          False  -0.119446           False -0.024131        False  1.121162          False          True
207.0  3.417307e-03        False -0.837455          False  -0.837117           False -0.267779        False  0.891598          False          True
208.0  2.014908e-03        False -1.800877           True  -1.806361            True -0.206328         True  0.975700          False          True
209.0  4.243621e-02        False -2.135600          False  -2.145951           False -0.948588         True  1.063570          False          True
210.0  3.935163e-02        False -1.889956          False  -1.896559           False -0.912233        False  1.413224           True         False
211.0  3.877498e-04        False  0.155402          False   0.155198           False  0.090118        False  1.021865          False         False
212.0  1.028989e-03        False  0.998389          False   0.998384           False  0.146999        False  0.882481          False          True
213.0  2.855680e-03        False -1.869245          False  -1.875577           False -0.245716        False  0.887769          False          True
214.0  2.527692e-03        False -1.834547          False  -1.840439           False -0.231134        False  0.864550          False          True
215.0  3.238264e-03        False -1.964915          False  -1.972556           False -0.261789        False  1.096373          False         False
216.0  2.833877e-04        False -0.368044          False  -0.367615           False -0.077054        False  1.067119          False         False
217.0  1.560411e-04        False  0.421015          False   0.420548           False  0.057180        False  1.129384          False         False
218.0  1.487102e-04        False  0.211438          False   0.211166           False  0.055811        False  1.059378          False         False
219.0  3.154623e-04        False -0.575854          False  -0.575335           False -0.081319        False  1.082862          False         False
220.0  1.065358e-04        False  0.283402          False   0.283050           False  0.047241        False  1.077762          False         False
221.0  1.850699e-05        False  0.141098          False   0.140911           False  0.019688        False  1.064133          False          True
222.0  1.837193e-03        False  0.876443          False   0.876168           False  0.196359        False  1.070160          False         False
223.0  5.504763e-05        False -0.273311          False  -0.272970           False -0.033958        False  1.082076          False         False
224.0  9.182691e-05        False -0.269013          False  -0.268676           False -0.043858        False  1.018365          False         False
225.0  3.511993e-04        False -0.913440          False  -0.913235           False -0.085860        False  1.059698          False         False
226.0  3.725385e-05        False  0.326169          False   0.325776           False  0.027936        False  1.073179          False         False
227.0  2.834175e-06        False  0.064556          False   0.064469           False  0.007704        False  1.080632          False         False
228.0  1.948364e-05        False -0.135903          False  -0.135723           False -0.020201        False  1.091641          False         False
229.0  9.157117e-06        False  0.077715          False   0.077611           False  0.013849        False  1.071104          False         False
230.0  1.027148e-04        False -0.339546          False  -0.339141           False -0.046388        False  1.091639          False         False
231.0  1.209524e-04        False  0.266908          False   0.266574           False  0.050335        False  1.060385          False         False
232.0  1.611292e-04        False  0.476375          False   0.475878           False  0.058109        False  1.083730          False         False
233.0  1.133705e-03        False -0.681301          False  -0.680809           False -0.154186        False  1.072982          False         False
234.0  5.055154e-05        False -0.247217          False  -0.246904           False -0.032541        False  1.023130          False          True
235.0  2.617951e-03        False -1.147757          False  -1.148249           False -0.234572        False  1.077247          False         False
236.0  1.233492e-05        False  0.117741          False   0.117584           False  0.016073        False  1.054620          False         False
237.0  2.712952e-04        False  0.590173          False   0.589654           False  0.075413        False  0.941054          False          True
238.0  2.477727e-03        False  1.561886          False   1.564934           False  0.228551        False  1.046540          False         False
239.0  1.234599e-03        False -0.881398          False  -0.881132           False -0.160969        False  1.101736          False         False
240.0  1.537470e-04        False  0.267146          False   0.266812           False  0.056750         True  1.319325           True          True
241.0  2.406791e-02        False -1.197773          False  -1.198477           False -0.711351        False  1.074461          False          True
242.0  5.009077e-03        False -1.098594          False  -1.098902           False -0.324422        False  1.492056           True          True
243.0  3.356794e-03        False  0.408132          False   0.407673           False  0.265206        False  0.997857          False          True
244.0  1.009123e-02        False  1.574700          False   1.577858           False  0.461266        False  1.005481          False          True
245.0  1.851191e-03        False  1.178819          False   1.179440           False  0.197271        False  1.156372          False         False
246.0  8.317796e-04        False -0.411458          False  -0.410997           False -0.132016        False  0.892120          False          True
247.0  8.528490e-03        False  1.951907          False   1.959361           False  0.424816        False  1.122487          False         False
248.0  2.682348e-05        False -0.095948          False  -0.095820           False -0.023702        False  1.095211          False         False
249.0  1.741491e-04        False  0.301603          False   0.301233           False  0.060400        False  1.056638          False         False
250.0  3.524023e-04        False  0.611571          False   0.611054           False  0.085953        False  1.060950          False         False
251.0  4.708088e-04        False  0.627598          False   0.627085           False  0.099352        False  1.079553          False         False
252.0  2.829818e-06        False  0.054192          False   0.054119           False  0.007698        False  1.069127          False         False
253.0  3.976024e-05        False -0.246836          False  -0.246523           False -0.028859        False  0.991457          False         False
254.0  8.450961e-04        False -1.173309          False  -1.173906           False -0.133286        False  1.068296          False         False
